Dip	dir	cluster original
66	49	1
75	27	1
50	63	1
53	56	1
62	60	1
40	43	1
29	29	1
35	30	1
33	26	1
59	33	1
59	52	1
27	50	1
76	37	1
64	52	1
64	39	1
88	33	1
64	35	1
55	67	1
46	34	1
46	63	1
75	75	1
60	40	1
63	61	1
45	34	1
89	215	1
56	28	1
49	39	1
65	57	1
38	53	1
63	51	1
42	34	1
44	68	1
50	65	1
62	38	1
45	67	1
34	51	1
55	25	1
61	56	1
50	43	1
51	37	1
64	47	1
71	73	1
76	232	1
54	25	1
62	40	1
69	28	1
60	45	1
53	47	1
47	32	1
60	40	1
67	212	2
66	202	2
55	218	2
80	204	2
62	201	2
52	203	2
49	186	2
50	223	2
43	199	2
53	207	2
77	207	2
53	205	2
64	199	2
55	192	2
68	216	2
61	192	2
59	207	2
61	202	2
54	197	2
68	191	2
64	197	2
52	213	2
56	203	2
60	217	2
55	205	2
67	213	2
67	199	2
59	216	2
57	208	2
63	188	2
63	192	2
37	200	2
53	197	2
75	204	2
49	215	2
61	220	2
61	190	2
59	209	2
58	191	2
72	199	2
59	207	2
50	203	2
60	202	2
68	206	2
64	213	2
53	207	2
71	207	2
71	213	2
60	221	2
68	237	2
57	208	3
56	219	3
77	232	3
68	230	3
69	221	3
72	194	3
77	219	3
60	193	3
62	219	3
71	242	3
63	203	3
66	226	3
85	206	3
63	236	3
63	224	3
76	214	3
74	236	3
59	214	3
56	209	3
66	230	3
70	217	3
76	214	3
69	203	3
84	211	3
75	209	3
41	225	3
67	193	3
69	202	3
69	217	3
62	217	3
58	220	3
77	209	3
59	214	3
70	217	3
78	226	3
78	210	3
52	220	3
85	42	3
78	221	3
70	227	3
59	233	3
69	210	3
80	221	3
69	226	3
70	215	3
54	206	3
67	224	3
58	215	3
66	200	3
79	214	3
81	311	3
89	307	4
84	119	4
81	314	4
80	301	4
83	346	4
77	321	4
84	297	4
87	115	4
70	318	4
86	334	4
88	332	4
88	301	4
85	308	4
78	142	4
90	320	4
86	300	4
85	143	4
90	336	4
89	312	4
85	111	4
90	136	4
85	303	4
78	319	4
79	123	4
84	127	4
73	320	4
59	152	4
81	327	4
85	138	4
64	320	4
69	136	4
79	308	4
84	139	4
81	321	4
74	139	4
84	318	4
72	142	4
76	340	4
85	132	4
76	326	4
88	164	4
80	137	4
74	129	4
89	115	4
58	334	4
84	328	4
75	330	4
89	295	4
84	305	4
